performer,main_artist_suggested
"Gerald Levert & Eddie Levert, Sr.",Gerald Levert
Darius Rucker,Darius Rucker
Kendrick Lamar,Kendrick Lamar
Kris Kross Featuring Supercat,Kris Kross
Peggy Lee,Peggy Lee
Deodato,Deodato
David Seville And The Chipmunks,David Seville And The Chipmunks
Alvin Cash & The Registers,Alvin Cash
Atlantic Starr,Atlantic Starr
Firefall,Firefall
Sammy Turner,Sammy Turner
The Kid LAROI,The Kid LAROI
Bryson Tiller,Bryson Tiller
Los Indios Tabajaras,Los Indios Tabajaras
Willie Nelson,Willie Nelson
R.B. Greaves,R.B. Greaves
Del Amitri,Del Amitri
Stryper,Stryper
The Dells,The Dells
Gloria Estefan,Gloria Estefan
Billy Paul,Billy Paul
Isle Of Man,Isle Of Man
The Partridge Family Starring Shirley Jones Featuring David Cassidy,The Partridge Family Starring Shirley Jones
Barbara Acklin,Barbara Acklin
Jacky Noguez And His Orchestra,Jacky Noguez And His Orchestra
Lonestar,Lonestar
Aerosmith,Aerosmith
Kanye West Featuring Young Jeezy,Kanye West
Judy Collins,Judy Collins
Amazing Rhythm Aces,Amazing Rhythm Aces
Edens Edge,Edens Edge
Yes,Yes
Estelle Featuring Kanye West,Estelle
Simon F,Simon F
Lady Antebellum,Lady Antebellum
Madonna,Madonna
The Oak Ridge Boys,The Oak Ridge Boys
Rihanna,Rihanna
Lil Wayne Featuring Shanell AKA SNL,Lil Wayne
Byron MacGregor,Byron MacGregor
Steve Alaimo,Steve Alaimo
Pure Prairie League,Pure Prairie League
Ben E. King,Ben E. King
Ozuna,Ozuna
Three Dog Night,Three Dog Night
Michelle Shocked,Michelle Shocked
Ciara,Ciara
Jennifer Hudson,Jennifer Hudson
Esther Phillips,Esther Phillips
Bobby Goldsboro,Bobby Goldsboro
Babyface,Babyface
The Cherry People,The Cherry People
Mark Lindsay,Mark Lindsay
Akon,Akon
Amanda Perez,Amanda Perez
Javier Colon,Javier Colon
Jon Secada,Jon Secada
Angelica,Angelica
Rosie And The Originals,Rosie And The Originals
One To One,One To One
Hot,Hot
The Badlees,The Badlees
Don Omar,Don Omar
David Archuleta,David Archuleta
Robbie Williams,Robbie Williams
Thriving Ivory,Thriving Ivory
Tim McGraw,Tim McGraw
Def Leppard,Def Leppard
Stephen Bishop,Stephen Bishop
Martin Garrix,Martin Garrix
Nickelback,Nickelback
Arthur Alexander,Arthur Alexander
Daniel Boone,Daniel Boone
The Kingsmen,The Kingsmen
Paul McCartney,Paul McCartney
Hoku,Hoku
Cause And Effect,Cause And Effect
Real McCoy,Real McCoy
The Hollies,The Hollies
Wilson Bros.,Wilson Bros.
Michael Jackson,Michael Jackson
Fat Joe Featuring Chris Brown,Fat Joe
Toni Braxton,Toni Braxton
Joe Nichols,Joe Nichols
Shawn Christopher,Shawn Christopher
Disturbed,Disturbed
Jack White & Alicia Keys,Jack White
Brady Seals,Brady Seals
Anuel AA & Ozuna,Anuel AA
Wayne Newton,Wayne Newton
Ed Sheeran & Travis Scott,Ed Sheeran
Percy Sledge,Percy Sledge
Evie Sands,Evie Sands
Liverpool Five,Liverpool Five
The Sylvers,The Sylvers
Young Thug Featuring Nicki Minaj,Young Thug
Teresa Brewer,Teresa Brewer
Irene Cara,Irene Cara
Collin Raye,Collin Raye
Michael Cera & Ellen Page,Michael Cera
Irma Thomas,Irma Thomas
Eric Burdon & The Animals,Eric Burdon
Mitch Malloy,Mitch Malloy
Gloria Estefan & Miami Sound Machine,Gloria Estefan
Florida Georgia Line,Florida Georgia Line
Randy Houser,Randy Houser
Debbie Gibson,Debbie Gibson
John Valenti,John Valenti
Frank Sinatra,Frank Sinatra
