performer,main_artist_suggested
Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,Louis Tomlinson
Selena Gomez,Selena Gomez
Roberta Flack With Donny Hathaway,Roberta Flack
DeJ Loaf Featuring Big Sean,DeJ Loaf
Al Greene & The Soul Mate's,Al Greene
Gunhill Road,Gunhill Road
Lil Durk,Lil Durk
Mel And Tim,Mel And Tim
Debbie Harry,Debbie Harry
Granger Smith,Granger Smith
New Boyz Featuring The Cataracs & Dev,New Boyz
Meat Puppets,Meat Puppets
Pebbles (With Salt-N-Pepa),Pebbles (
Mack 10,Mack 10
Migos Featuring Lil Uzi Vert,Migos
Kid Ink Featuring Meek Mill & Wale,Kid Ink
French Montana Featuring Jeremih,French Montana
Bastille,Bastille
Taylor Swift Featuring Kendrick Lamar,Taylor Swift
Marty Wilde,Marty Wilde
Miami Sound Machine,Miami Sound Machine
"P. Diddy, Black Rob & Mark Curry",P. Diddy
Wham! U.K.,Wham! U.K.
Shyne Featuring Barrington Levy,Shyne
Alvin And The Chipmunks,Alvin And The Chipmunks
Fuel,Fuel
Meek Mill Featuring Nicki Minaj,Meek Mill
Donna Summer,Donna Summer
Imagine Dragons,Imagine Dragons
Khalid,Khalid
Harold Melvin And The Blue Notes,Harold Melvin And The Blue Notes
The Critters,The Critters
Machine Gun Kelly x Camila Cabello,Machine Gun Kelly
Grand Funk,Grand Funk
Billy J. Kramer With The Dakotas,Billy J. Kramer
The Raelettes,The Raelettes
Jim Croce,Jim Croce
"Wale Featuring Rick Ross, Meek Mill & T-Pain",Wale
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Ozuna
Enrique Iglesias,Enrique Iglesias
Gerry Rafferty,Gerry Rafferty
The Marketts,The Marketts
T.I. Featuring Lil Wayne,T.I.
Post Malone Featuring Nicki Minaj,Post Malone
Tommy James And The Shondells,Tommy James And The Shondells
Bud & Travis,Bud
Jefferson Airplane,Jefferson Airplane
Mustard Featuring Roddy Ricch,Mustard
Jermaine Dupri Featuring Nate Dogg,Jermaine Dupri
Freda Payne,Freda Payne
Myke Towers & Juhn,Myke Towers
Juice WRLD & YoungBoy Never Broke Again,Juice WRLD
Witch Queen,Witch Queen
"Jessie J, Ariana Grande & Nicki Minaj",Jessie J
The Joe Cuba Sextet,The Joe Cuba Sextet
T-Pain Featuring Lil Wayne,T-Pain
AJR,AJR
Skrillex Featuring Sirah,Skrillex
Rascal Flatts,Rascal Flatts
Luke Featuring The 2 Live Crew,Luke
New Colony Six,New Colony Six
Duck Sauce,Duck Sauce
Strawberry Alarm Clock,Strawberry Alarm Clock
Duncan Sheik,Duncan Sheik
Rhythm Heritage,Rhythm Heritage
Rehab,Rehab
Cardi B Featuring 21 Savage,Cardi B
Dev Featuring The Cataracs,Dev
Avenged Sevenfold,Avenged Sevenfold
Dickie Goodman,Dickie Goodman
Neal Hefti,Neal Hefti
C Company Featuring Terry Nelson,C Company
The Georgia Satellites,The Georgia Satellites
The Kirby Stone Four,The Kirby Stone Four
"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Thomas Rhett
Cardi B,Cardi B
Ashley Tisdale,Ashley Tisdale
Marshmello & Halsey,Marshmello
Cissy Houston,Cissy Houston
The Four-Evers,The Four-Evers
The Meters,The Meters
La Bouche,La Bouche
Flo Rida Featuring Ne-Yo,Flo Rida
William DeVaughn,William DeVaughn
The Tams,The Tams
Jesse Johnson's Revue,Jesse Johnson's Revue
Audioslave,Audioslave
First Class,First Class
King Curtis And The Noble Knights,King Curtis And The Noble Knights
Lil Uzi Vert Featuring Chief Keef,Lil Uzi Vert
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,A Boogie Wit da Hoodie
SpotemGottem Featuring Pooh Shiesty Or DaBaby,SpotemGottem
Fall Out Boy Featuring John Mayer,Fall Out Boy
Sean Kingston Featuring Chris Brown & Wiz Khalifa,Sean Kingston
Scandal Featuring Patty Smyth,Scandal
Brett Eldredge,Brett Eldredge
Starship,Starship
Charlie Sexton,Charlie Sexton
Akon Featuring Colby O'Donis & Kardinal Offishall,Akon
Bazzi Featuring Camila Cabello,Bazzi
Carly Rae Jepsen Featuring Justin Bieber,Carly Rae Jepsen
Christina Aguilera & Beverly McClellan,Christina Aguilera
Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Snoop Dogg
Luke Combs,Luke Combs
Lee DeWyze,Lee DeWyze
Zac Brown Band,Zac Brown Band
India.Arie,India.Arie
INXS,INXS
Sean Kingston,Sean Kingston
Lupe Fiasco Featuring MDMA,Lupe Fiasco
Beyonce & Shakira,Beyonce
Nick Fradiani,Nick Fradiani
The Afters,The Afters
Zedd Featuring Jon Bellion,Zedd
Sir Chauncey and his exciting strings,Sir Chauncey and his exciting strings
Bobby Vee And The Strangers,Bobby Vee And The Strangers
Chris Brown Featuring Benny Benassi,Chris Brown
Dru Hill,Dru Hill
Tory Lanez Featuring Snoop Dogg,Tory Lanez
Billy Stewart,Billy Stewart
Stevie B,Stevie B
Chris Montez,Chris Montez
Reba McEntire Duet With Kelly Clarkson,Reba McEntire Duet
"10,000 Maniacs",10
Duane Eddy And The Rebels,Duane Eddy And The Rebels
The Statler Brothers,The Statler Brothers
Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Puff Daddy
Clint Black With Steve Wariner,Clint Black
The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls
The Playmates,The Playmates
Toby Keith Duet With Willie Nelson,Toby Keith Duet
Goo Goo Dolls,Goo Goo Dolls
Buck Owens,Buck Owens
Lewis Capaldi,Lewis Capaldi
Iggy Azalea Featuring M0,Iggy Azalea
Victorious Cast Featuring Victoria Justice,Victorious Cast
Slick Rick,Slick Rick
Limp Bizkit,Limp Bizkit
Meek Mill Featuring Justin Timberlake,Meek Mill
Staind,Staind
Dan Fogelberg,Dan Fogelberg
PARTYNEXTDOOR & Rihanna,PARTYNEXTDOOR
Derek & The Dominos,Derek
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Romeo Santos
The Barden Bellas,The Barden Bellas
Lil Jon Featuring Tyga,Lil Jon
Labrinth Featuring Emeli Sande,Labrinth
Kellie Pickler,Kellie Pickler
50 Cent & Olivia,50 Cent
Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,Puff Daddy
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Sofi Tukker
Sophia Grace,Sophia Grace
Hannah Montana,Hannah Montana
Daniel Caesar Featuring H.E.R.,Daniel Caesar
Ed Sheeran Featuring YEBBA,Ed Sheeran
The Persuaders,The Persuaders
Zac Efron,Zac Efron
"The Stylistics Featuring Russell Thompkins,Jr.",The Stylistics
Evelyn King,Evelyn King
Chantay Savage,Chantay Savage
Lil Xan,Lil Xan
Zayn,Zayn
Tina Turner,Tina Turner
Ant Clemons Featuring Justin Timberlake,Ant Clemons
WC Featuring Jon B.,WC
Citizen King,Citizen King
Leona Lewis,Leona Lewis
Little Big Town,Little Big Town
Harry Chapin,Harry Chapin
The Starlets,The Starlets
Terry Dexter,Terry Dexter
Joe Hinton,Joe Hinton
Jerry Fuller,Jerry Fuller
L.B.C. Crew Feat. Tray D & South Sentrell,L.B.C. Crew
Panjabi MC Featuring Jay-Z,Panjabi MC
Big Sean Featuring A$AP Ferg & Hit-Boy,Big Sean
"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",Lil Jon
Foxy Brown Featuring Dru Hill,Foxy Brown
Emilia,Emilia
"Peter, Paul & Mary",Peter
Big Bopper,Big Bopper
The Redjacks,The Redjacks
Jill Corey,Jill Corey
LeAnn Rimes,LeAnn Rimes
Kool & The Gang,Kool
Fergie,Fergie
Alphaville,Alphaville
Buck Owens and The Buckaroos,Buck Owens and The Buckaroos
Joe Henderson,Joe Henderson
Jay-Z Featuring UGK,Jay-Z
The Notorious B.I.G.,The Notorious B.I.G.
Coi Leray & Pooh Shiesty,Coi Leray
Drake & Future,Drake
Claude King,Claude King
Roddy Ricch,Roddy Ricch
Warrant,Warrant
Keith Hampshire,Keith Hampshire
Bjork,Bjork
Counting Crows Featuring Vanessa Carlton,Counting Crows
The Neighborhood,The Neighborhood
Bro Smith,Bro Smith
Quavo,Quavo
Ambrosia,Ambrosia
Peggy Scott-Adams,Peggy Scott-Adams
Ella Fitzgerald,Ella Fitzgerald
Travie McCoy Featuring Bruno Mars,Travie McCoy
Destiny's Child,Destiny's Child
Paper Lace,Paper Lace
Neal McCoy,Neal McCoy
Bo Donaldson And The Heywoods,Bo Donaldson And The Heywoods
The Raiders,The Raiders
Bob Crewe Generation,Bob Crewe Generation
Katy Perry,Katy Perry
Underground Sunshine,Underground Sunshine
Rihanna Featuring Chris Brown,Rihanna
Jeremih,Jeremih
2 Chainz Featuring Kanye West,2 Chainz
Biscuit,Biscuit
The Verve,The Verve
FRENTE!,FRENTE!
New Order,New Order
Wiz Khalifa,Wiz Khalifa
Nicki Minaj X Mike WiLL Made-It,Nicki Minaj
Rae Sremmurd Featuring Gucci Mane,Rae Sremmurd
The Isley Brothers,The Isley Brothers
Ram Jam,Ram Jam
Newcity Rockers,Newcity Rockers
Freddy Robinson,Freddy Robinson
KT Tunstall,KT Tunstall
Casey Weston,Casey Weston
Los Bravos,Los Bravos
Frankie Miller,Frankie Miller
Little Mix,Little Mix
Santana,Santana
Deep Purple,Deep Purple
Soundgarden,Soundgarden
The Main Ingredient,The Main Ingredient
Sam The Sham and the Pharaohs,Sam The Sham and the Pharaohs
Logic Featuring Damian Lemar Hudson,Logic
Will Smith Featuring Tra-Knox,Will Smith
Johnny Wakelin & The Kinshasa Band,Johnny Wakelin
Alannah Myles,Alannah Myles
Iggy Azalea Featuring Rita Ora,Iggy Azalea
Mista,Mista
Calvin Harris Featuring John Newman,Calvin Harris
Jamie Foxx Featuring T-Pain,Jamie Foxx
Smokey Robinson & Barbara Mitchell,Smokey Robinson
I Prevail,I Prevail
Billie Jo Spears,Billie Jo Spears
Internet Money Featuring Juice WRLD & Trippie Redd,Internet Money
Jon Bon Jovi,Jon Bon Jovi
Linkin Park,Linkin Park
Ronnie Dunn,Ronnie Dunn
Robert Knight,Robert Knight
The Brooklyn Bridge Featuring Johnny Maestro,The Brooklyn Bridge
DaBaby Featuring Young Thug,DaBaby
Uriah Heep,Uriah Heep
Manfred Mann's Earth Band,Manfred Mann's Earth Band
Tori Amos,Tori Amos
The Sweet,The Sweet
Supertramp,Supertramp
Ke$ha,Ke$ha
Eiffel 65,Eiffel 65
Bachman-Turner Overdrive,Bachman-Turner Overdrive
Justin Hayward & John Lodge,Justin Hayward
Yasmeen Featuring Ghostface Killah,Yasmeen
David Gilmour,David Gilmour
Van Morrison,Van Morrison
Herb Lance & The Classics,Herb Lance
The Kenny Wayne Shepherd Band,The Kenny Wayne Shepherd Band
The White Stripes,The White Stripes
Tommy Sands And The Raiders,Tommy Sands And The Raiders
Joan Baez,Joan Baez
The Brothers Four,The Brothers Four
Davie Allan And The Arrows,Davie Allan And The Arrows
Mitch Miller and his Orchestra and Chorus,Mitch Miller and his Orchestra and Chorus
The Buffalo Springfield,The Buffalo Springfield
Eric Clapton And His Band,Eric Clapton And His Band
Fifth Harmony,Fifth Harmony
Bobby Shmurda,Bobby Shmurda
Marcie Blane,Marcie Blane
Loud Luxury Featuring Brando,Loud Luxury
Summer Walker,Summer Walker
Anita Baker,Anita Baker
Tony Bennett & Amy Winehouse,Tony Bennett
Public Announcement,Public Announcement
"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",DJ Khaled
Big Sean Featuring Ty Dolla $ign & Jhene Aiko,Big Sean
Jesse McCartney Featuring T-Pain,Jesse McCartney
Kid Ink Featuring Usher & Tinashe,Kid Ink
Maria Vidal,Maria Vidal
Panic! At The Disco,Panic! At The Disco
The Braids,The Braids
Nick Jonas & Nicki Minaj,Nick Jonas
Bob Weir,Bob Weir
Erick Sermon,Erick Sermon
Katy Perry Featuring Migos,Katy Perry
Preston Epps,Preston Epps
Kathy Dalton,Kathy Dalton
"Earth, Wind & Fire with The Emotions",Earth
Claudja Barry,Claudja Barry
Cypress Hill,Cypress Hill
The Animals,The Animals
The Black Eyed Peas,The Black Eyed Peas
Born Jamericans,Born Jamericans
Lil Yachty Featuring Ugly God,Lil Yachty
Jazzy Jeff & The Fresh Prince,Jazzy Jeff
Vengaboys,Vengaboys
Dan Seals,Dan Seals
The Ronettes Featuring Veronica,The Ronettes
Danielle Bradbery,Danielle Bradbery
Bobby Helms,Bobby Helms
Gera MX + Christian Nodal,Gera MX
B.o.B Featuring Taylor Swift,B.o.B
Future & Lil Uzi Vert,Future
Jackson Browne,Jackson Browne
Sarah Connor,Sarah Connor
Big Sean,Big Sean
Juicy J Featuring Wale & Trey Songz,Juicy J
Lil Bow Wow Featuring Xscape,Lil Bow Wow
Vaughan Mason And Crew,Vaughan Mason And Crew
Matthew Wilder,Matthew Wilder
YoungBoy Never Broke Again Featuring Sherhonda Gaulden,YoungBoy Never Broke Again
Funkdoobiest,Funkdoobiest
Tia,Tia
Ariana Grande & Social House,Ariana Grande
New Hollow,New Hollow
Pleasure P,Pleasure P
Timothy B. Schmit,Timothy B. Schmit
Ben Rector,Ben Rector
21 Savage & Metro Boomin,21 Savage
Dead Or Alive,Dead Or Alive
Scott English,Scott English
The Ritchie Family,The Ritchie Family
Ariana Grande Featuring Zedd,Ariana Grande
Mitch Ryder And The Detroit Wheels,Mitch Ryder And The Detroit Wheels
Del Shannon,Del Shannon
The Stylistics,The Stylistics
Method Man Featuring D'Angelo,Method Man
Taio Cruz Featuring Ludacris,Taio Cruz
Tracey Ullman,Tracey Ullman
The Script,The Script
"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",Zac Efron
Topic & A7S,Topic
The American Comedy Network,The American Comedy Network
Jivin' Gene And The Jokers,Jivin' Gene And The Jokers
Joe Jackson,Joe Jackson
Breaking Benjamin,Breaking Benjamin
Blu Cantrell Featuring Sean Paul,Blu Cantrell
Faith Hill,Faith Hill
Telepopmusik,Telepopmusik
Mase Featuring P. Diddy,Mase
The Cupids,The Cupids
Michel Legrand,Michel Legrand
Mary J. Blige & Andrea Bocelli,Mary J. Blige
Tessanne Chin,Tessanne Chin
Colbie Caillat,Colbie Caillat
Boy Meets Girl,Boy Meets Girl
Keith Washington,Keith Washington
Eddie Floyd,Eddie Floyd
Lil Rob,Lil Rob
Lifehouse,Lifehouse
Seether Featuring Amy Lee,Seether
Chris Stapleton,Chris Stapleton
The Piltdown Men,The Piltdown Men
Cody Jameson,Cody Jameson
Ol' Dirty Bastard,Ol' Dirty Bastard
NEEDTOBREATHE Featuring Gavin DeGraw,NEEDTOBREATHE
Willie Hutch,Willie Hutch
Orpheus,Orpheus
El Chicano,El Chicano
Bill Medley,Bill Medley
"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Beyonce
D'Angelo,D'Angelo
Train Featuring Ashley Monroe,Train
Ronny And The Daytonas,Ronny And The Daytonas
Smif-N-Wessun,Smif-N-Wessun
Flamingos,Flamingos
La Roux,La Roux
Herb Alpert's Tijuana Brass,Herb Alpert's Tijuana Brass
Cyclones,Cyclones
Dooley Silverspoon,Dooley Silverspoon
The Applejacks,The Applejacks
Mobb Deep Featuring Vita & Noyd,Mobb Deep
Midland,Midland
Wiz Khalifa Featuring Rae Sremmurd,Wiz Khalifa
Jessie J Featuring 2 Chainz,Jessie J
The Mike Curb Congregation,The Mike Curb Congregation
Vitamin Z,Vitamin Z
Cam,Cam
Emily Ann Roberts,Emily Ann Roberts
Dierks Bentley Featuring Brothers Osborne,Dierks Bentley
The Soulful Strings,The Soulful Strings
Erica Banks,Erica Banks
Young M.C.,Young M.C.
The Busters,The Busters
Jazmine Sullivan,Jazmine Sullivan
Jerry Naylor,Jerry Naylor
J.J. Jackson,J.J. Jackson
Ketty Lester,Ketty Lester
Charm,Charm
Next,Next
Danyel Gerard,Danyel Gerard
Lil Pump,Lil Pump
Raybon Bros.,Raybon Bros.
The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls
Chris Janson,Chris Janson
Runaway June,Runaway June
Tim Davis,Tim Davis
The Mad Lads,The Mad Lads
U.S. 1,U.S. 1
Coolio Featuring 40 Thevz,Coolio
Conway Twitty,Conway Twitty
Quad City DJ's,Quad City DJ's
Wu-Tang Clan,Wu-Tang Clan
Rod Hart,Rod Hart
Kehlani,Kehlani
Plastic Bertrand,Plastic Bertrand
Spyro Gyra,Spyro Gyra
DNCE,DNCE
James Brown And His Orchestra,James Brown And His Orchestra
Norman Greenbaum,Norman Greenbaum
Joe Jones,Joe Jones
The Escape Club,The Escape Club
Great White,Great White
Dennis DeYoung,Dennis DeYoung
Skyy,Skyy
Too Short & Lil' Kim,Too Short
Giuffria,Giuffria
Pedro Capo X Farruko,Pedro Capo
Billy Joe Royal,Billy Joe Royal
Lee Michaels,Lee Michaels
The Bachelors,The Bachelors
The Contours,The Contours
Dru Down,Dru Down
Maureen McGovern,Maureen McGovern
Peabo Bryson,Peabo Bryson
Cate Bros.,Cate Bros.
The Williams Brothers,The Williams Brothers
Fabolous Featuring Nate Dogg,Fabolous
REO Speedwagon,REO Speedwagon
Rose Colored Glass,Rose Colored Glass
J. Cole Featuring Trey Songz,J. Cole
Patty Loveless,Patty Loveless
Winger,Winger
Lil Suzy,Lil Suzy
The Standells,The Standells
The Excels,The Excels
Macklemore & Ryan Lewis Featuring Ray Dalton,Macklemore
Christina Aguilera Featuring Lil' Kim,Christina Aguilera
Laurnea,Laurnea
Stephen Stills,Stephen Stills
Fabolous Featuring Mike Shorey & Lil' Mo,Fabolous
Chuck Jackson & Maxine Brown,Chuck Jackson
Kelly Rowland,Kelly Rowland
Puff Daddy (Featuring Mase),Puff Daddy (
Shakira Featuring Rihanna,Shakira
Dave Hollister,Dave Hollister
Becky G,Becky G
B.T. Express,B.T. Express
The Last Word,The Last Word
Aaron Neville,Aaron Neville
Justin Timberlake,Justin Timberlake
Dan Hill (Duet With Vonda Shepard),Dan Hill (Duet
Total Featuring The Notorious B.I.G.,Total
The New Colony Six,The New Colony Six
Etta Jones,Etta Jones
The White Tie Affair,The White Tie Affair
Iggy Pop With Kate Pierson,Iggy Pop
Mandy Moore,Mandy Moore
Soul For Real,Soul For Real
Golden Earring,Golden Earring
Frenship & Emily Warren,Frenship
Simon Stokes,Simon Stokes
Blue,Blue
The Strangeloves,The Strangeloves
City High Featuring Eve,City High
Santo & Johnny,Santo
"Isley, Jasper, Isley",Isley
Seether,Seether
Wham! Featuring George Michael,Wham!
Billy Ocean,Billy Ocean
Natalie Merchant,Natalie Merchant
Tommy Roe,Tommy Roe
Amine,Amine
Brian Wilson,Brian Wilson
Dr. Hook And The Medicine Show,Dr. Hook And The Medicine Show
XXXTentacion,XXXTentacion
Timbaland Featuring Justin Timberlake,Timbaland
Gary Numan,Gary Numan
L'Trimm,L'Trimm
Frank Stallone,Frank Stallone
Megan Thee Stallion Featuring DaBaby,Megan Thee Stallion
Ruby Andrews,Ruby Andrews
TakeOff,TakeOff
Vince Guaraldi Trio,Vince Guaraldi Trio
The Johnny Otis Show,The Johnny Otis Show
Ian Van Dahl Featuring Marsha,Ian Van Dahl
Rej3ctz,Rej3ctz
Pretty Poison,Pretty Poison
Real Life,Real Life
38 Special,38 Special
Fun Factory,Fun Factory
Hole,Hole
Boots Brown And His Blockbusters,Boots Brown And His Blockbusters
Jackie Wilson & Count Basie,Jackie Wilson
Jibbs,Jibbs
Little Caesar,Little Caesar
The Cookies,The Cookies
Herbie Hancock,Herbie Hancock
Ruben Studdard,Ruben Studdard
Dennis Yost And The Classics IV,Dennis Yost And The Classics IV
"Jay-Z, Beanie Sigel And Memphis Bleek",Jay-Z
Van Mccoy,Van Mccoy
Kehlani Featuring Jhene Aiko,Kehlani
Shakira Featuring Maluma,Shakira
The Dixie Cups,The Dixie Cups
Vangelis,Vangelis
Charlie Wilson,Charlie Wilson
Tim Moore,Tim Moore
Giorgio Moroder,Giorgio Moroder
Chuck Mangione,Chuck Mangione
Ernie Fields & Orch.,Ernie Fields
Sia Featuring Sean Paul,Sia
Alice In Chains,Alice In Chains
WE the Kings,WE the Kings
Ice Cube Featuring Das EFX,Ice Cube
I.A.P. Co. (the Italian Asphalt & Pavement Company),I.A.P. Co. (the Italian Asphalt
Potliquor,Potliquor
OMI,OMI
Playa,Playa
Aly & AJ,Aly
David Cassidy,David Cassidy
Charlie Mccoy,Charlie Mccoy
Skip And Flip,Skip And Flip
Addrisi Brothers,Addrisi Brothers
John Rowles,John Rowles
Sammy Johns,Sammy Johns
Graham Nash,Graham Nash
j-hope Featuring Becky G.,j-hope
Chris Cagle,Chris Cagle
Lords Of The Underground,Lords Of The Underground
Robert Miles,Robert Miles
Rob $tone Featuring J. Davi$ & Spooks,Rob $tone
Wale Featuring Lady Gaga,Wale
"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",Sofia Carson
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",Anuel AA
Kyu Sakamoto,Kyu Sakamoto
Eddy Arnold,Eddy Arnold
Mac And Katie Kissoon,Mac And Katie Kissoon
The 1975,The 1975
T-Pain Featuring Ludacris,T-Pain
Jacky Noguez And His Musette Orchestra,Jacky Noguez And His Musette Orchestra
Jack Ross,Jack Ross
Paul Revere & The Raiders Featuring Mark Lindsay,Paul Revere
Johnny Crawford,Johnny Crawford
Neil Young & Crazy Horse,Neil Young
The Gentrys,The Gentrys
Edie Brickell & New Bohemians,Edie Brickell
Ray Price,Ray Price
Ja Rule,Ja Rule
The Beau-Marks,The Beau-Marks
Zedd Featuring Foxes,Zedd
Rodney Atkins,Rodney Atkins
Moneybagg Yo,Moneybagg Yo
Spin Doctors,Spin Doctors
Jordan Smith,Jordan Smith
Gorillaz,Gorillaz
"Kanye West, Jay-Z, Big Sean",Kanye West
Nick Jonas Featuring Tove Lo,Nick Jonas
Rae Sremmurd & Travis Scott,Rae Sremmurd
Lita Ford (Duet With Ozzy Osbourne),Lita Ford (Duet
Ellie Goulding X Diplo Featuring Swae Lee,Ellie Goulding
The Cure,The Cure
Maxi Priest,Maxi Priest
Surface,Surface
Rush,Rush
Mongo Santamaria,Mongo Santamaria
NF,NF
Zach Sobiech,Zach Sobiech
Offset Featuring Cardi B,Offset
Marques Houston Featuring Joe Budden & Pied Piper,Marques Houston
O.T. Genasis,O.T. Genasis
Loretta Lynn,Loretta Lynn
Too $hort,Too $hort
Mr. President,Mr. President
El Coco,El Coco
Tyga Featuring Travis McCoy,Tyga
Kodak Black Featuring Lil Wayne,Kodak Black
Yung Joc Featuring Gorilla Zoe,Yung Joc
Crossfade,Crossfade
Dixie Chicks,Dixie Chicks
Plastic Ono Band,Plastic Ono Band
Genius/GZA Featuring Inspektah Deck,Genius/GZA
The Winstons,The Winstons
Ice-T,Ice-T
Vanessa Williams,Vanessa Williams
Maurice Williams & The Zodiacs,Maurice Williams
PARTYNEXTDOOR Featuring Drake,PARTYNEXTDOOR
K7,K7
Paul Young,Paul Young
Roddie Joy,Roddie Joy
Vanessa Hudgens,Vanessa Hudgens
OneRepublic With Sara Bareilles,OneRepublic
Intro,Intro
Billy Lawrence Featuring MC Lyte,Billy Lawrence
Tammi Terrell,Tammi Terrell
Easterhouse,Easterhouse
The Sandpipers,The Sandpipers
Nella Dodds,Nella Dodds
112,112
Julie Monday,Julie Monday
H.E.R. Featuring Chris Brown,H.E.R.
Manfred Mann,Manfred Mann
Puff Daddy Featuring Jimmy Page,Puff Daddy
K Camp,K Camp
Future Featuring The Weeknd,Future
Mel Gadson,Mel Gadson
Delaney & Bonnie & Friends/Eric Clapton,Delaney
Mel Torme,Mel Torme
Sudden Change,Sudden Change
Korn,Korn
The Cars,The Cars
Lil Baby Featuring Lil Uzi Vert,Lil Baby
Clive Griffin,Clive Griffin
Spandau Ballet,Spandau Ballet
Little Carl Carlton,Little Carl Carlton
Daddy Yankee & Katy Perry Featuring Snow,Daddy Yankee
The Goodees,The Goodees
Taylor Swift Featuring The National,Taylor Swift
Lindsay Lohan,Lindsay Lohan
Vesta,Vesta
Stereo MC's,Stereo MC's
Camila Cabello,Camila Cabello
k.d. lang,k.d. lang
LL Cool J Featuring Jennifer Lopez,LL Cool J
Les Emmerson,Les Emmerson
C.W. McCall,C.W. McCall
Gym Class Heroes Featuring The-Dream,Gym Class Heroes
Vanilla Ice,Vanilla Ice
Little River Band,Little River Band
Tove Lo,Tove Lo
Sparks & Jane Wiedlin,Sparks
